state,office_name,deck_users,dem_campaigns,pct_of_dem_campaigns_outraised,dem_vote_share_2018,dem_vote_share_2020,dem_change_2018_to_2020
MN,US SENATE,FALSE,1,0,0.603,0.489,-0.115
MO,STATE HOUSE,FALSE,45,0.556,0.469,0.432,-0.037
MO,STATE HOUSE,TRUE,28,0.536,0.446,0.402,-0.044
MO,US HOUSE,FALSE,3,0.667,0.415,0.366,-0.05
MO,US HOUSE,TRUE,5,0.8,0.434,0.414,-0.02
MS,US HOUSE,FALSE,3,0.667,0.47,0.416,-0.054
MS,US SENATE,TRUE,1,0,0.395,0.398,0.004
MT,STATE HOUSE,FALSE,58,0.466,0.576,0.47,-0.107
MT,STATE HOUSE,TRUE,2,0,0.645,0.596,-0.049
MT,US SENATE,FALSE,1,0,0.503,0.469,-0.034
NC,STATE HOUSE,FALSE,5,0.8,0.405,0.371,-0.033
NC,STATE HOUSE,TRUE,100,0.44,0.505,0.481,-0.024
NC,STATE SENATE,TRUE,48,0.5,0.497,0.481,-0.016
NC,US HOUSE,FALSE,8,0.625,0.496,0.489,-0.007
NC,US HOUSE,TRUE,3,0.667,0.464,0.41,-0.053
NE,US HOUSE,FALSE,3,0.667,0.373,0.345,-0.028
NE,US SENATE,FALSE,1,1,0.386,0.267,-0.119
NH,GOVERNOR,FALSE,1,0,0.458,0.346,-0.111
NH,STATE SENATE,FALSE,20,0.45,0.532,0.487,-0.045
NH,US HOUSE,FALSE,2,0,0.546,0.529,-0.017
NJ,US HOUSE,FALSE,6,0.167,0.587,0.567,-0.02
NJ,US HOUSE,TRUE,5,0,0.655,0.668,0.013
NJ,US SENATE,FALSE,1,0,0.54,0.609,0.069
NM,STATE HOUSE,FALSE,41,0.171,0.703,0.58,-0.123
NM,STATE HOUSE,TRUE,2,0,1,0.784,-0.216
NM,US HOUSE,FALSE,3,0,0.578,0.542,-0.036
NM,US SENATE,FALSE,1,0,0.541,0.514,-0.027
NV,STATE HOUSE,FALSE,24,0.25,0.694,0.584,-0.11
NV,STATE HOUSE,TRUE,3,0.333,0.567,0.438,-0.129
NV,US HOUSE,FALSE,2,0.5,0.54,0.516,-0.024
NV,US HOUSE,TRUE,2,0,0.519,0.497,-0.022
NY,STATE HOUSE,FALSE,59,0.61,0.765,0.615,-0.15
NY,STATE HOUSE,TRUE,1,1,0.477,0.834,0.357
NY,STATE SENATE,FALSE,18,0.556,0.819,0.753,-0.066
NY,US HOUSE,FALSE,26,0.269,0.674,0.55,-0.124
NY,US HOUSE,TRUE,2,0,0.511,0.47,-0.042
OH,STATE HOUSE,FALSE,63,0.651,0.489,0.452,-0.037
OH,STATE HOUSE,TRUE,3,0.333,0.453,0.425,-0.028
OH,US HOUSE,FALSE,12,0.5,0.504,0.462,-0.042
OH,US HOUSE,TRUE,2,1,0.373,0.349,-0.024
OK,STATE HOUSE,FALSE,23,0.522,0.457,0.405,-0.052
OK,STATE HOUSE,TRUE,4,0.5,0.555,0.411,-0.143
OK,US HOUSE,FALSE,4,0.75,0.376,0.327,-0.049
OK,US HOUSE,TRUE,1,1,0.301,0.22,-0.081
OR,STATE HOUSE,FALSE,41,0.439,0.604,0.536,-0.068
OR,STATE SENATE,FALSE,2,1,0.319,0.321,0.001
OR,US HOUSE,FALSE,5,0.4,0.574,0.571,-0.003
PA,STATE HOUSE,FALSE,53,0.283,0.667,0.546,-0.12
